name,annotations,codepoints
blond-haired woman: light skin tone,"blonde, light skin tone, woman","[128113, 127995, 8205, 9792, 65039]"
blond-haired woman: medium-light skin tone,"blonde, medium-light skin tone, woman","[128113, 127996, 8205, 9792, 65039]"
blond-haired woman: medium skin tone,"blonde, medium skin tone, woman","[128113, 127997, 8205, 9792, 65039]"
blond-haired woman: medium-dark skin tone,"blonde, medium-dark skin tone, woman","[128113, 127998, 8205, 9792, 65039]"
blond-haired woman: dark skin tone,"blonde, dark skin tone, woman","[128113, 127999, 8205, 9792, 65039]"
santa claus,"celebration, christmas, claus, father, santa",[127877]
santa claus: light skin tone,"celebration, christmas, claus, father, light skin tone, santa","[127877, 127995]"
santa claus: medium-light skin tone,"celebration, christmas, claus, father, medium-light skin tone, santa","[127877, 127996]"
santa claus: medium skin tone,"celebration, christmas, claus, father, medium skin tone, santa","[127877, 127997]"
santa claus: medium-dark skin tone,"celebration, christmas, claus, father, medium-dark skin tone, santa","[127877, 127998]"
santa claus: dark skin tone,"celebration, christmas, claus, dark skin tone, father, santa","[127877, 127999]"
mrs. claus,"celebration, christmas, claus, mother, mrs.",[129334]
mrs. claus: light skin tone,"celebration, christmas, claus, light skin tone, mother, mrs.","[129334, 127995]"
mrs. claus: medium-light skin tone,"celebration, christmas, claus, medium-light skin tone, mother, mrs.","[129334, 127996]"
mrs. claus: medium skin tone,"celebration, christmas, claus, medium skin tone, mother, mrs.","[129334, 127997]"
mrs. claus: medium-dark skin tone,"celebration, christmas, claus, medium-dark skin tone, mother, mrs.","[129334, 127998]"
mrs. claus: dark skin tone,"celebration, christmas, claus, dark skin tone, mother, mrs.","[129334, 127999]"
princess,"fairy tale, fantasy",[128120]
princess: light skin tone,"fairy tale, fantasy, light skin tone","[128120, 127995]"
princess: medium-light skin tone,"fairy tale, fantasy, medium-light skin tone","[128120, 127996]"
princess: medium skin tone,"fairy tale, fantasy, medium skin tone","[128120, 127997]"
princess: medium-dark skin tone,"fairy tale, fantasy, medium-dark skin tone","[128120, 127998]"
princess: dark skin tone,"dark skin tone, fairy tale, fantasy","[128120, 127999]"
prince,prince,[129332]
prince: light skin tone,"light skin tone, prince","[129332, 127995]"
prince: medium-light skin tone,"medium-light skin tone, prince","[129332, 127996]"
prince: medium skin tone,"medium skin tone, prince","[129332, 127997]"
prince: medium-dark skin tone,"medium-dark skin tone, prince","[129332, 127998]"
prince: dark skin tone,"dark skin tone, prince","[129332, 127999]"
bride with veil,"bride, veil, wedding",[128112]
