name,annotations,codepoints
woman biking: dark skin tone,"bicycle, biking, cyclist, dark skin tone, woman","[128692, 127999, 8205, 9792, 65039]"
person mountain biking,"bicycle, bicyclist, bike, cyclist, mountain",[128693]
person mountain biking: light skin tone,"bicycle, bicyclist, bike, cyclist, light skin tone, mountain","[128693, 127995]"
person mountain biking: medium-light skin tone,"bicycle, bicyclist, bike, cyclist, medium-light skin tone, mountain","[128693, 127996]"
person mountain biking: medium skin tone,"bicycle, bicyclist, bike, cyclist, medium skin tone, mountain","[128693, 127997]"
person mountain biking: medium-dark skin tone,"bicycle, bicyclist, bike, cyclist, medium-dark skin tone, mountain","[128693, 127998]"
person mountain biking: dark skin tone,"bicycle, bicyclist, bike, cyclist, dark skin tone, mountain","[128693, 127999]"
man mountain biking,"bicycle, bike, cyclist, man, mountain","[128693, 8205, 9794, 65039]"
man mountain biking: light skin tone,"bicycle, bike, cyclist, light skin tone, man, mountain","[128693, 127995, 8205, 9794, 65039]"
man mountain biking: medium-light skin tone,"bicycle, bike, cyclist, man, medium-light skin tone, mountain","[128693, 127996, 8205, 9794, 65039]"
man mountain biking: medium skin tone,"bicycle, bike, cyclist, man, medium skin tone, mountain","[128693, 127997, 8205, 9794, 65039]"
man mountain biking: medium-dark skin tone,"bicycle, bike, cyclist, man, medium-dark skin tone, mountain","[128693, 127998, 8205, 9794, 65039]"
man mountain biking: dark skin tone,"bicycle, bike, cyclist, dark skin tone, man, mountain","[128693, 127999, 8205, 9794, 65039]"
woman mountain biking,"bicycle, bike, biking, cyclist, mountain, woman","[128693, 8205, 9792, 65039]"
woman mountain biking: light skin tone,"bicycle, bike, biking, cyclist, light skin tone, mountain, woman","[128693, 127995, 8205, 9792, 65039]"
woman mountain biking: medium-light skin tone,"bicycle, bike, biking, cyclist, medium-light skin tone, mountain, woman","[128693, 127996, 8205, 9792, 65039]"
woman mountain biking: medium skin tone,"bicycle, bike, biking, cyclist, medium skin tone, mountain, woman","[128693, 127997, 8205, 9792, 65039]"
woman mountain biking: medium-dark skin tone,"bicycle, bike, biking, cyclist, medium-dark skin tone, mountain, woman","[128693, 127998, 8205, 9792, 65039]"
woman mountain biking: dark skin tone,"bicycle, bike, biking, cyclist, dark skin tone, mountain, woman","[128693, 127999, 8205, 9792, 65039]"
racing car,"car, racing",[127950]
motorcycle,racing,[127949]
person cartwheeling,"cartwheel, gymnastics",[129336]
person cartwheeling: light skin tone,"cartwheel, gymnastics, light skin tone","[129336, 127995]"
person cartwheeling: medium-light skin tone,"cartwheel, gymnastics, medium-light skin tone","[129336, 127996]"
person cartwheeling: medium skin tone,"cartwheel, gymnastics, medium skin tone","[129336, 127997]"
person cartwheeling: medium-dark skin tone,"cartwheel, gymnastics, medium-dark skin tone","[129336, 127998]"
person cartwheeling: dark skin tone,"cartwheel, dark skin tone, gymnastics","[129336, 127999]"
man cartwheeling,"cartwheel, gymnastics, man","[129336, 8205, 9794, 65039]"
man cartwheeling: light skin tone,"cartwheel, gymnastics, light skin tone, man","[129336, 127995, 8205, 9794, 65039]"
man cartwheeling: medium-light skin tone,"cartwheel, gymnastics, man, medium-light skin tone","[129336, 127996, 8205, 9794, 65039]"
man cartwheeling: medium skin tone,"cartwheel, gymnastics, man, medium skin tone","[129336, 127997, 8205, 9794, 65039]"
man cartwheeling: medium-dark skin tone,"cartwheel, gymnastics, man, medium-dark skin tone","[129336, 127998, 8205, 9794, 65039]"
man cartwheeling: dark skin tone,"cartwheel, dark skin tone, gymnastics, man","[129336, 127999, 8205, 9794, 65039]"
woman cartwheeling,"cartwheel, gymnastics, woman","[129336, 8205, 9792, 65039]"
woman cartwheeling: light skin tone,"cartwheel, gymnastics, light skin tone, woman","[129336, 127995, 8205, 9792, 65039]"
woman cartwheeling: medium-light skin tone,"cartwheel, gymnastics, medium-light skin tone, woman","[129336, 127996, 8205, 9792, 65039]"
woman cartwheeling: medium skin tone,"cartwheel, gymnastics, medium skin tone, woman","[129336, 127997, 8205, 9792, 65039]"
woman cartwheeling: medium-dark skin tone,"cartwheel, gymnastics, medium-dark skin tone, woman","[129336, 127998, 8205, 9792, 65039]"
woman cartwheeling: dark skin tone,"cartwheel, dark skin tone, gymnastics, woman","[129336, 127999, 8205, 9792, 65039]"
people wrestling,"wrestle, wrestler",[129340]
people wrestling: light skin tone,"light skin tone, wrestle, wrestler","[129340, 127995]"
people wrestling: medium-light skin tone,"medium-light skin tone, wrestle, wrestler","[129340, 127996]"
people wrestling: medium skin tone,"medium skin tone, wrestle, wrestler","[129340, 127997]"
people wrestling: medium-dark skin tone,"medium-dark skin tone, wrestle, wrestler","[129340, 127998]"
people wrestling: dark skin tone,"dark skin tone, wrestle, wrestler","[129340, 127999]"
men wrestling,"men, wrestle","[129340, 8205, 9794, 65039]"
men wrestling: light skin tone,"light skin tone, men, wrestle","[129340, 127995, 8205, 9794, 65039]"
men wrestling: medium-light skin tone,"medium-light skin tone, men, wrestle","[129340, 127996, 8205, 9794, 65039]"
men wrestling: medium skin tone,"medium skin tone, men, wrestle","[129340, 127997, 8205, 9794, 65039]"
men wrestling: medium-dark skin tone,"medium-dark skin tone, men, wrestle","[129340, 127998, 8205, 9794, 65039]"
men wrestling: dark skin tone,"dark skin tone, men, wrestle","[129340, 127999, 8205, 9794, 65039]"
women wrestling,"women, wrestle","[129340, 8205, 9792, 65039]"
women wrestling: light skin tone,"light skin tone, women, wrestle","[129340, 127995, 8205, 9792, 65039]"
women wrestling: medium-light skin tone,"medium-light skin tone, women, wrestle","[129340, 127996, 8205, 9792, 65039]"
women wrestling: medium skin tone,"medium skin tone, women, wrestle","[129340, 127997, 8205, 9792, 65039]"
women wrestling: medium-dark skin tone,"medium-dark skin tone, women, wrestle","[129340, 127998, 8205, 9792, 65039]"
women wrestling: dark skin tone,"dark skin tone, women, wrestle","[129340, 127999, 8205, 9792, 65039]"
person playing water polo,"polo, water",[129341]
person playing water polo: light skin tone,"light skin tone, polo, water","[129341, 127995]"
person playing water polo: medium-light skin tone,"medium-light skin tone, polo, water","[129341, 127996]"
person playing water polo: medium skin tone,"medium skin tone, polo, water","[129341, 127997]"
person playing water polo: medium-dark skin tone,"medium-dark skin tone, polo, water","[129341, 127998]"
person playing water polo: dark skin tone,"dark skin tone, polo, water","[129341, 127999]"
man playing water polo,"man, water polo","[129341, 8205, 9794, 65039]"
man playing water polo: light skin tone,"light skin tone, man, water polo","[129341, 127995, 8205, 9794, 65039]"
man playing water polo: medium-light skin tone,"man, medium-light skin tone, water polo","[129341, 127996, 8205, 9794, 65039]"
man playing water polo: medium skin tone,"man, medium skin tone, water polo","[129341, 127997, 8205, 9794, 65039]"
man playing water polo: medium-dark skin tone,"man, medium-dark skin tone, water polo","[129341, 127998, 8205, 9794, 65039]"
man playing water polo: dark skin tone,"dark skin tone, man, water polo","[129341, 127999, 8205, 9794, 65039]"
woman playing water polo,"water polo, woman","[129341, 8205, 9792, 65039]"
woman playing water polo: light skin tone,"light skin tone, water polo, woman","[129341, 127995, 8205, 9792, 65039]"
woman playing water polo: medium-light skin tone,"medium-light skin tone, water polo, woman","[129341, 127996, 8205, 9792, 65039]"
woman playing water polo: medium skin tone,"medium skin tone, water polo, woman","[129341, 127997, 8205, 9792, 65039]"
woman playing water polo: medium-dark skin tone,"medium-dark skin tone, water polo, woman","[129341, 127998, 8205, 9792, 65039]"
woman playing water polo: dark skin tone,"dark skin tone, water polo, woman","[129341, 127999, 8205, 9792, 65039]"
person playing handball,"ball, handball",[129342]
person playing handball: light skin tone,"ball, handball, light skin tone","[129342, 127995]"
person playing handball: medium-light skin tone,"ball, handball, medium-light skin tone","[129342, 127996]"
person playing handball: medium skin tone,"ball, handball, medium skin tone","[129342, 127997]"
person playing handball: medium-dark skin tone,"ball, handball, medium-dark skin tone","[129342, 127998]"
person playing handball: dark skin tone,"ball, dark skin tone, handball","[129342, 127999]"
man playing handball,"handball, man","[129342, 8205, 9794, 65039]"
man playing handball: light skin tone,"handball, light skin tone, man","[129342, 127995, 8205, 9794, 65039]"
man playing handball: medium-light skin tone,"handball, man, medium-light skin tone","[129342, 127996, 8205, 9794, 65039]"
man playing handball: medium skin tone,"handball, man, medium skin tone","[129342, 127997, 8205, 9794, 65039]"
man playing handball: medium-dark skin tone,"handball, man, medium-dark skin tone","[129342, 127998, 8205, 9794, 65039]"
man playing handball: dark skin tone,"dark skin tone, handball, man","[129342, 127999, 8205, 9794, 65039]"
woman playing handball,"handball, woman","[129342, 8205, 9792, 65039]"
woman playing handball: light skin tone,"handball, light skin tone, woman","[129342, 127995, 8205, 9792, 65039]"
woman playing handball: medium-light skin tone,"handball, medium-light skin tone, woman","[129342, 127996, 8205, 9792, 65039]"
woman playing handball: medium skin tone,"handball, medium skin tone, woman","[129342, 127997, 8205, 9792, 65039]"
woman playing handball: medium-dark skin tone,"handball, medium-dark skin tone, woman","[129342, 127998, 8205, 9792, 65039]"
woman playing handball: dark skin tone,"dark skin tone, handball, woman","[129342, 127999, 8205, 9792, 65039]"
person juggling,"balance, juggle, multitask, skill",[129337]
person juggling: light skin tone,"balance, juggle, light skin tone, multitask, skill","[129337, 127995]"
person juggling: medium-light skin tone,"balance, juggle, medium-light skin tone, multitask, skill","[129337, 127996]"
person juggling: medium skin tone,"balance, juggle, medium skin tone, multitask, skill","[129337, 127997]"
person juggling: medium-dark skin tone,"balance, juggle, medium-dark skin tone, multitask, skill","[129337, 127998]"
person juggling: dark skin tone,"balance, dark skin tone, juggle, multitask, skill","[129337, 127999]"
man juggling,"juggling, man, multitask","[129337, 8205, 9794, 65039]"
man juggling: light skin tone,"juggling, light skin tone, man, multitask","[129337, 127995, 8205, 9794, 65039]"
man juggling: medium-light skin tone,"juggling, man, medium-light skin tone, multitask","[129337, 127996, 8205, 9794, 65039]"
man juggling: medium skin tone,"juggling, man, medium skin tone, multitask","[129337, 127997, 8205, 9794, 65039]"
man juggling: medium-dark skin tone,"juggling, man, medium-dark skin tone, multitask","[129337, 127998, 8205, 9794, 65039]"
man juggling: dark skin tone,"dark skin tone, juggling, man, multitask","[129337, 127999, 8205, 9794, 65039]"
woman juggling,"juggling, multitask, woman","[129337, 8205, 9792, 65039]"
woman juggling: light skin tone,"juggling, light skin tone, multitask, woman","[129337, 127995, 8205, 9792, 65039]"
woman juggling: medium-light skin tone,"juggling, medium-light skin tone, multitask, woman","[129337, 127996, 8205, 9792, 65039]"
woman juggling: medium skin tone,"juggling, medium skin tone, multitask, woman","[129337, 127997, 8205, 9792, 65039]"
woman juggling: medium-dark skin tone,"juggling, medium-dark skin tone, multitask, woman","[129337, 127998, 8205, 9792, 65039]"
woman juggling: dark skin tone,"dark skin tone, juggling, multitask, woman","[129337, 127999, 8205, 9792, 65039]"
man and woman holding hands,"couple, hand, hold, man, woman",[128107]
man and woman holding hands: light skin tone,"couple, hand, hold, light skin tone, man, woman","[128107, 127995]"
man and woman holding hands: medium-light skin tone,"couple, hand, hold, man, medium-light skin tone, woman","[128107, 127996]"
man and woman holding hands: medium skin tone,"couple, hand, hold, man, medium skin tone, woman","[128107, 127997]"
man and woman holding hands: medium-dark skin tone,"couple, hand, hold, man, medium-dark skin tone, woman","[128107, 127998]"
man and woman holding hands: dark skin tone,"couple, dark skin tone, hand, hold, man, woman","[128107, 127999]"
two men holding hands,"couple, gemini, hand, hold, man, twins, zodiac",[128108]
two men holding hands: light skin tone,"couple, gemini, hand, hold, light skin tone, man, twins, zodiac","[128108, 127995]"
two men holding hands: medium-light skin tone,"couple, gemini, hand, hold, man, medium-light skin tone, twins, zodiac","[128108, 127996]"
two men holding hands: medium skin tone,"couple, gemini, hand, hold, man, medium skin tone, twins, zodiac","[128108, 127997]"
two men holding hands: medium-dark skin tone,"couple, gemini, hand, hold, man, medium-dark skin tone, twins, zodiac","[128108, 127998]"
two men holding hands: dark skin tone,"couple, dark skin tone, gemini, hand, hold, man, twins, zodiac","[128108, 127999]"
two women holding hands,"couple, hand, hold, woman",[128109]
two women holding hands: light skin tone,"couple, hand, hold, light skin tone, woman","[128109, 127995]"
two women holding hands: medium-light skin tone,"couple, hand, hold, medium-light skin tone, woman","[128109, 127996]"
two women holding hands: medium skin tone,"couple, hand, hold, medium skin tone, woman","[128109, 127997]"
two women holding hands: medium-dark skin tone,"couple, hand, hold, medium-dark skin tone, woman","[128109, 127998]"
two women holding hands: dark skin tone,"couple, dark skin tone, hand, hold, woman","[128109, 127999]"
kiss,couple,[128143]
"kiss: woman, man","couple, man, woman","[128105, 8205, 10084, 65039, 8205, 128139, 8205, 128104]"
"kiss: man, man","couple, man","[128104, 8205, 10084, 65039, 8205, 128139, 8205, 128104]"
"kiss: woman, woman","couple, woman","[128105, 8205, 10084, 65039, 8205, 128139, 8205, 128105]"
couple with heart,"couple, love",[128145]
"couple with heart: woman, man","couple, love, man, woman","[128105, 8205, 10084, 65039, 8205, 128104]"
"couple with heart: man, man","couple, love, man","[128104, 8205, 10084, 65039, 8205, 128104]"
"couple with heart: woman, woman","couple, love, woman","[128105, 8205, 10084, 65039, 8205, 128105]"
family,family,[128106]
family: light skin tone,"family, light skin tone","[128106, 127995]"
family: medium-light skin tone,"family, medium-light skin tone","[128106, 127996]"
family: medium skin tone,"family, medium skin tone","[128106, 127997]"
family: medium-dark skin tone,"family, medium-dark skin tone","[128106, 127998]"
family: dark skin tone,"dark skin tone, family","[128106, 127999]"
"family: man, woman, boy","boy, family, man, woman","[128104, 8205, 128105, 8205, 128102]"
"family: man, woman, girl","family, girl, man, woman","[128104, 8205, 128105, 8205, 128103]"
"family: man, woman, girl, boy","boy, family, girl, man, woman","[128104, 8205, 128105, 8205, 128103, 8205, 128102]"
"family: man, woman, boy, boy","boy, family, man, woman","[128104, 8205, 128105, 8205, 128102, 8205, 128102]"
"family: man, woman, girl, girl","family, girl, man, woman","[128104, 8205, 128105, 8205, 128103, 8205, 128103]"
"family: man, man, boy","boy, family, man","[128104, 8205, 128104, 8205, 128102]"
"family: man, man, girl","family, girl, man","[128104, 8205, 128104, 8205, 128103]"
"family: man, man, girl, boy","boy, family, girl, man","[128104, 8205, 128104, 8205, 128103, 8205, 128102]"
"family: man, man, boy, boy","boy, family, man","[128104, 8205, 128104, 8205, 128102, 8205, 128102]"
"family: man, man, girl, girl","family, girl, man","[128104, 8205, 128104, 8205, 128103, 8205, 128103]"
"family: woman, woman, boy","boy, family, woman","[128105, 8205, 128105, 8205, 128102]"
"family: woman, woman, girl","family, girl, woman","[128105, 8205, 128105, 8205, 128103]"
"family: woman, woman, girl, boy","boy, family, girl, woman","[128105, 8205, 128105, 8205, 128103, 8205, 128102]"
"family: woman, woman, boy, boy","boy, family, woman","[128105, 8205, 128105, 8205, 128102, 8205, 128102]"
"family: woman, woman, girl, girl","family, girl, woman","[128105, 8205, 128105, 8205, 128103, 8205, 128103]"
"family: man, boy","boy, family, man","[128104, 8205, 128102]"
"family: man, boy, boy","boy, family, man","[128104, 8205, 128102, 8205, 128102]"
"family: man, girl","family, girl, man","[128104, 8205, 128103]"
"family: man, girl, boy","boy, family, girl, man","[128104, 8205, 128103, 8205, 128102]"
"family: man, girl, girl","family, girl, man","[128104, 8205, 128103, 8205, 128103]"
"family: woman, boy","boy, family, woman","[128105, 8205, 128102]"
"family: woman, boy, boy","boy, family, woman","[128105, 8205, 128102, 8205, 128102]"
"family: woman, girl","family, girl, woman","[128105, 8205, 128103]"
"family: woman, girl, boy","boy, family, girl, woman","[128105, 8205, 128103, 8205, 128102]"
"family: woman, girl, girl","family, girl, woman","[128105, 8205, 128103, 8205, 128103]"
light skin tone,"skin tone, type 12",[127995]
medium-light skin tone,"skin tone, type 3",[127996]
medium skin tone,"skin tone, type 4",[127997]
medium-dark skin tone,"skin tone, type 5",[127998]
dark skin tone,"skin tone, type 6",[127999]
flexed biceps,"biceps, comic, flex, muscle",[128170]
flexed biceps: light skin tone,"biceps, comic, flex, light skin tone, muscle","[128170, 127995]"
flexed biceps: medium-light skin tone,"biceps, comic, flex, medium-light skin tone, muscle","[128170, 127996]"
flexed biceps: medium skin tone,"biceps, comic, flex, medium skin tone, muscle","[128170, 127997]"
flexed biceps: medium-dark skin tone,"biceps, comic, flex, medium-dark skin tone, muscle","[128170, 127998]"
flexed biceps: dark skin tone,"biceps, comic, dark skin tone, flex, muscle","[128170, 127999]"
selfie,"camera, phone, selfie",[129331]
selfie: light skin tone,"camera, light skin tone, phone, selfie","[129331, 127995]"
selfie: medium-light skin tone,"camera, medium-light skin tone, phone, selfie","[129331, 127996]"
selfie: medium skin tone,"camera, medium skin tone, phone, selfie","[129331, 127997]"
selfie: medium-dark skin tone,"camera, medium-dark skin tone, phone, selfie","[129331, 127998]"
selfie: dark skin tone,"camera, dark skin tone, phone, selfie","[129331, 127999]"
backhand index pointing left,"backhand, finger, hand, index, point",[128072]
backhand index pointing left: light skin tone,"backhand, finger, hand, index, light skin tone, point","[128072, 127995]"
backhand index pointing left: medium-light skin tone,"backhand, finger, hand, index, medium-light skin tone, point","[128072, 127996]"
backhand index pointing left: medium skin tone,"backhand, finger, hand, index, medium skin tone, point","[128072, 127997]"
backhand index pointing left: medium-dark skin tone,"backhand, finger, hand, index, medium-dark skin tone, point","[128072, 127998]"
backhand index pointing left: dark skin tone,"backhand, dark skin tone, finger, hand, index, point","[128072, 127999]"
backhand index pointing right,"backhand, finger, hand, index, point",[128073]
backhand index pointing right: light skin tone,"backhand, finger, hand, index, light skin tone, point","[128073, 127995]"
backhand index pointing right: medium-light skin tone,"backhand, finger, hand, index, medium-light skin tone, point","[128073, 127996]"
backhand index pointing right: medium skin tone,"backhand, finger, hand, index, medium skin tone, point","[128073, 127997]"
backhand index pointing right: medium-dark skin tone,"backhand, finger, hand, index, medium-dark skin tone, point","[128073, 127998]"
backhand index pointing right: dark skin tone,"backhand, dark skin tone, finger, hand, index, point","[128073, 127999]"
index pointing up,"finger, hand, index, point, up",[9757]
index pointing up: light skin tone,"finger, hand, index, light skin tone, point, up","[9757, 127995]"
index pointing up: medium-light skin tone,"finger, hand, index, medium-light skin tone, point, up","[9757, 127996]"
index pointing up: medium skin tone,"finger, hand, index, medium skin tone, point, up","[9757, 127997]"
index pointing up: medium-dark skin tone,"finger, hand, index, medium-dark skin tone, point, up","[9757, 127998]"
index pointing up: dark skin tone,"dark skin tone, finger, hand, index, point, up","[9757, 127999]"
backhand index pointing up,"backhand, finger, hand, index, point, up",[128070]
backhand index pointing up: light skin tone,"backhand, finger, hand, index, light skin tone, point, up","[128070, 127995]"
backhand index pointing up: medium-light skin tone,"backhand, finger, hand, index, medium-light skin tone, point, up","[128070, 127996]"
backhand index pointing up: medium skin tone,"backhand, finger, hand, index, medium skin tone, point, up","[128070, 127997]"
backhand index pointing up: medium-dark skin tone,"backhand, finger, hand, index, medium-dark skin tone, point, up","[128070, 127998]"
backhand index pointing up: dark skin tone,"backhand, dark skin tone, finger, hand, index, point, up","[128070, 127999]"
middle finger,"finger, hand",[128405]
middle finger: light skin tone,"finger, hand, light skin tone","[128405, 127995]"
middle finger: medium-light skin tone,"finger, hand, medium-light skin tone","[128405, 127996]"
middle finger: medium skin tone,"finger, hand, medium skin tone","[128405, 127997]"
middle finger: medium-dark skin tone,"finger, hand, medium-dark skin tone","[128405, 127998]"
middle finger: dark skin tone,"dark skin tone, finger, hand","[128405, 127999]"
backhand index pointing down,"backhand, down, finger, hand, index, point",[128071]
backhand index pointing down: light skin tone,"backhand, down, finger, hand, index, light skin tone, point","[128071, 127995]"
backhand index pointing down: medium-light skin tone,"backhand, down, finger, hand, index, medium-light skin tone, point","[128071, 127996]"
backhand index pointing down: medium skin tone,"backhand, down, finger, hand, index, medium skin tone, point","[128071, 127997]"
backhand index pointing down: medium-dark skin tone,"backhand, down, finger, hand, index, medium-dark skin tone, point","[128071, 127998]"
backhand index pointing down: dark skin tone,"backhand, dark skin tone, down, finger, hand, index, point","[128071, 127999]"
victory hand,"hand, v, victory",[9996]
victory hand: light skin tone,"hand, light skin tone, v, victory","[9996, 127995]"
victory hand: medium-light skin tone,"hand, medium-light skin tone, v, victory","[9996, 127996]"
victory hand: medium skin tone,"hand, medium skin tone, v, victory","[9996, 127997]"
victory hand: medium-dark skin tone,"hand, medium-dark skin tone, v, victory","[9996, 127998]"
victory hand: dark skin tone,"dark skin tone, hand, v, victory","[9996, 127999]"
crossed fingers,"cross, finger, hand, luck",[129310]
crossed fingers: light skin tone,"cross, finger, hand, light skin tone, luck","[129310, 127995]"
crossed fingers: medium-light skin tone,"cross, finger, hand, luck, medium-light skin tone","[129310, 127996]"
crossed fingers: medium skin tone,"cross, finger, hand, luck, medium skin tone","[129310, 127997]"
crossed fingers: medium-dark skin tone,"cross, finger, hand, luck, medium-dark skin tone","[129310, 127998]"
crossed fingers: dark skin tone,"cross, dark skin tone, finger, hand, luck","[129310, 127999]"
vulcan salute,"finger, hand, spock, vulcan",[128406]
vulcan salute: light skin tone,"finger, hand, light skin tone, spock, vulcan","[128406, 127995]"
vulcan salute: medium-light skin tone,"finger, hand, medium-light skin tone, spock, vulcan","[128406, 127996]"
vulcan salute: medium skin tone,"finger, hand, medium skin tone, spock, vulcan","[128406, 127997]"
vulcan salute: medium-dark skin tone,"finger, hand, medium-dark skin tone, spock, vulcan","[128406, 127998]"
vulcan salute: dark skin tone,"dark skin tone, finger, hand, spock, vulcan","[128406, 127999]"
sign of the horns,"finger, hand, horns, rock-on",[129304]
sign of the horns: light skin tone,"finger, hand, horns, light skin tone, rock-on","[129304, 127995]"
sign of the horns: medium-light skin tone,"finger, hand, horns, medium-light skin tone, rock-on","[129304, 127996]"
sign of the horns: medium skin tone,"finger, hand, horns, medium skin tone, rock-on","[129304, 127997]"
sign of the horns: medium-dark skin tone,"finger, hand, horns, medium-dark skin tone, rock-on","[129304, 127998]"
sign of the horns: dark skin tone,"dark skin tone, finger, hand, horns, rock-on","[129304, 127999]"
call me hand,"call, hand",[129305]
call me hand: light skin tone,"call, hand, light skin tone","[129305, 127995]"
call me hand: medium-light skin tone,"call, hand, medium-light skin tone","[129305, 127996]"
call me hand: medium skin tone,"call, hand, medium skin tone","[129305, 127997]"
call me hand: medium-dark skin tone,"call, hand, medium-dark skin tone","[129305, 127998]"
call me hand: dark skin tone,"call, dark skin tone, hand","[129305, 127999]"
raised hand with fingers splayed,"finger, hand, splayed",[128400]
raised hand with fingers splayed: light skin tone,"finger, hand, light skin tone, splayed","[128400, 127995]"
raised hand with fingers splayed: medium-light skin tone,"finger, hand, medium-light skin tone, splayed","[128400, 127996]"
raised hand with fingers splayed: medium skin tone,"finger, hand, medium skin tone, splayed","[128400, 127997]"
raised hand with fingers splayed: medium-dark skin tone,"finger, hand, medium-dark skin tone, splayed","[128400, 127998]"
raised hand with fingers splayed: dark skin tone,"dark skin tone, finger, hand, splayed","[128400, 127999]"
raised hand,hand,[9995]
raised hand: light skin tone,"hand, light skin tone","[9995, 127995]"
raised hand: medium-light skin tone,"hand, medium-light skin tone","[9995, 127996]"
raised hand: medium skin tone,"hand, medium skin tone","[9995, 127997]"
raised hand: medium-dark skin tone,"hand, medium-dark skin tone","[9995, 127998]"
raised hand: dark skin tone,"dark skin tone, hand","[9995, 127999]"
ok hand,"hand, ok",[128076]
ok hand: light skin tone,"hand, light skin tone, ok","[128076, 127995]"
ok hand: medium-light skin tone,"hand, medium-light skin tone, ok","[128076, 127996]"
ok hand: medium skin tone,"hand, medium skin tone, ok","[128076, 127997]"
ok hand: medium-dark skin tone,"hand, medium-dark skin tone, ok","[128076, 127998]"
ok hand: dark skin tone,"dark skin tone, hand, ok","[128076, 127999]"
thumbs up,"+1, hand, thumb, up",[128077]
thumbs up: light skin tone,"+1, hand, light skin tone, thumb, up","[128077, 127995]"
thumbs up: medium-light skin tone,"+1, hand, medium-light skin tone, thumb, up","[128077, 127996]"
thumbs up: medium skin tone,"+1, hand, medium skin tone, thumb, up","[128077, 127997]"
thumbs up: medium-dark skin tone,"+1, hand, medium-dark skin tone, thumb, up","[128077, 127998]"
thumbs up: dark skin tone,"+1, dark skin tone, hand, thumb, up","[128077, 127999]"
thumbs down,"-1, down, hand, thumb",[128078]
thumbs down: light skin tone,"-1, down, hand, light skin tone, thumb","[128078, 127995]"
thumbs down: medium-light skin tone,"-1, down, hand, medium-light skin tone, thumb","[128078, 127996]"
thumbs down: medium skin tone,"-1, down, hand, medium skin tone, thumb","[128078, 127997]"
thumbs down: medium-dark skin tone,"-1, down, hand, medium-dark skin tone, thumb","[128078, 127998]"
thumbs down: dark skin tone,"-1, dark skin tone, down, hand, thumb","[128078, 127999]"
raised fist,"clenched, fist, hand, punch",[9994]
raised fist: light skin tone,"clenched, fist, hand, light skin tone, punch","[9994, 127995]"
raised fist: medium-light skin tone,"clenched, fist, hand, medium-light skin tone, punch","[9994, 127996]"
raised fist: medium skin tone,"clenched, fist, hand, medium skin tone, punch","[9994, 127997]"
raised fist: medium-dark skin tone,"clenched, fist, hand, medium-dark skin tone, punch","[9994, 127998]"
raised fist: dark skin tone,"clenched, dark skin tone, fist, hand, punch","[9994, 127999]"
oncoming fist,"clenched, fist, hand, punch",[128074]
oncoming fist: light skin tone,"clenched, fist, hand, light skin tone, punch","[128074, 127995]"
oncoming fist: medium-light skin tone,"clenched, fist, hand, medium-light skin tone, punch","[128074, 127996]"
oncoming fist: medium skin tone,"clenched, fist, hand, medium skin tone, punch","[128074, 127997]"
oncoming fist: medium-dark skin tone,"clenched, fist, hand, medium-dark skin tone, punch","[128074, 127998]"
oncoming fist: dark skin tone,"clenched, dark skin tone, fist, hand, punch","[128074, 127999]"
left-facing fist,"fist, leftwards",[129307]
left-facing fist: light skin tone,"fist, leftwards, light skin tone","[129307, 127995]"
left-facing fist: medium-light skin tone,"fist, leftwards, medium-light skin tone","[129307, 127996]"
left-facing fist: medium skin tone,"fist, leftwards, medium skin tone","[129307, 127997]"
left-facing fist: medium-dark skin tone,"fist, leftwards, medium-dark skin tone","[129307, 127998]"
left-facing fist: dark skin tone,"dark skin tone, fist, leftwards","[129307, 127999]"
right-facing fist,"fist, rightwards",[129308]
right-facing fist: light skin tone,"fist, light skin tone, rightwards","[129308, 127995]"
right-facing fist: medium-light skin tone,"fist, medium-light skin tone, rightwards","[129308, 127996]"
right-facing fist: medium skin tone,"fist, medium skin tone, rightwards","[129308, 127997]"
right-facing fist: medium-dark skin tone,"fist, medium-dark skin tone, rightwards","[129308, 127998]"
right-facing fist: dark skin tone,"dark skin tone, fist, rightwards","[129308, 127999]"
raised back of hand,"backhand, raised",[129306]
raised back of hand: light skin tone,"backhand, light skin tone, raised","[129306, 127995]"
raised back of hand: medium-light skin tone,"backhand, medium-light skin tone, raised","[129306, 127996]"
raised back of hand: medium skin tone,"backhand, medium skin tone, raised","[129306, 127997]"
raised back of hand: medium-dark skin tone,"backhand, medium-dark skin tone, raised","[129306, 127998]"
raised back of hand: dark skin tone,"backhand, dark skin tone, raised","[129306, 127999]"
waving hand,"hand, wave, waving",[128075]
waving hand: light skin tone,"hand, light skin tone, wave, waving","[128075, 127995]"
waving hand: medium-light skin tone,"hand, medium-light skin tone, wave, waving","[128075, 127996]"
waving hand: medium skin tone,"hand, medium skin tone, wave, waving","[128075, 127997]"
waving hand: medium-dark skin tone,"hand, medium-dark skin tone, wave, waving","[128075, 127998]"
waving hand: dark skin tone,"dark skin tone, hand, wave, waving","[128075, 127999]"
clapping hands,"clap, hand",[128079]
clapping hands: light skin tone,"clap, hand, light skin tone","[128079, 127995]"
clapping hands: medium-light skin tone,"clap, hand, medium-light skin tone","[128079, 127996]"
clapping hands: medium skin tone,"clap, hand, medium skin tone","[128079, 127997]"
clapping hands: medium-dark skin tone,"clap, hand, medium-dark skin tone","[128079, 127998]"
clapping hands: dark skin tone,"clap, dark skin tone, hand","[128079, 127999]"
