name,annotations,codepoints,emoji,synonyms
man juggling: medium skin tone,"juggling, man, medium skin tone, multitask","[129337, 127997, 8205, 9794, 65039]",,"juggle, multitask, multitasking, balance, juggling, juggler"
man juggling: medium-dark skin tone,"juggling, man, medium-dark skin tone, multitask","[129337, 127998, 8205, 9794, 65039]",,"juggle, multitask, multitasking, balance, juggling, juggler"
man juggling: dark skin tone,"dark skin tone, juggling, man, multitask","[129337, 127999, 8205, 9794, 65039]",,"juggle, multitask, multitasking, balance, juggling, juggler"
woman juggling,"juggling, multitask, woman","[129337, 8205, 9792, 65039]",,"juggle, multitask, multitasking, balance, juggling, juggler"
woman juggling: light skin tone,"juggling, light skin tone, multitask, woman","[129337, 127995, 8205, 9792, 65039]",,"juggle, multitask, multitasking, balance, juggling, juggler"
woman juggling: medium-light skin tone,"juggling, medium-light skin tone, multitask, woman","[129337, 127996, 8205, 9792, 65039]",,"juggle, multitask, multitasking, balance, juggling, juggler"
woman juggling: medium skin tone,"juggling, medium skin tone, multitask, woman","[129337, 127997, 8205, 9792, 65039]",,"juggle, multitask, multitasking, balance, juggling, juggler"
woman juggling: medium-dark skin tone,"juggling, medium-dark skin tone, multitask, woman","[129337, 127998, 8205, 9792, 65039]",,"juggle, multitask, multitasking, balance, juggling, juggler"
woman juggling: dark skin tone,"dark skin tone, juggling, multitask, woman","[129337, 127999, 8205, 9792, 65039]",,"juggle, multitask, multitasking, balance, juggling, juggler"
man and woman holding hands,"couple, hand, hold, man, woman",[128107],👫,"couple, hold, pair, love, partners, partnership"
man and woman holding hands: light skin tone,"couple, hand, hold, light skin tone, man, woman","[128107, 127995]",,"couple, hold, pair, love, partners, partnership"
man and woman holding hands: medium-light skin tone,"couple, hand, hold, man, medium-light skin tone, woman","[128107, 127996]",,"couple, hold, pair, love, partners, partnership"
man and woman holding hands: medium skin tone,"couple, hand, hold, man, medium skin tone, woman","[128107, 127997]",,"couple, hold, pair, love, partners, partnership"
man and woman holding hands: medium-dark skin tone,"couple, hand, hold, man, medium-dark skin tone, woman","[128107, 127998]",,"couple, hold, pair, love, partners, partnership"
man and woman holding hands: dark skin tone,"couple, dark skin tone, hand, hold, man, woman","[128107, 127999]",,"couple, hold, pair, love, partners, partnership"
two men holding hands,"couple, gemini, hand, hold, man, twins, zodiac",[128108],👬,"couple, hold, pair, love, partners, partnership"
two men holding hands: light skin tone,"couple, gemini, hand, hold, light skin tone, man, twins, zodiac","[128108, 127995]",,"couple, hold, pair, love, partners, partnership"
